字,筆畫
丂,2
丩,2
𠄎,2
𠘧,2
刂,2
㔾,2
巜,2
𠀀,2
𠂇,2
𠄍,2
𠄏,2
凵,2
𢎘,2
𠁢,2
㐅,2
𠂈,2
𠃐,2
𠃏,2
𠄞,2
𠄟,2
𠄠,2
𠤎,2
𠤬,2
𠁡,2
󿭀,2
󿰾,2
󿶹,2
𠀁,2
𠂉,2
𠂊,2
𠃎,2
𠄐,2
𠆢,2
𠘨,2
𠙴,2
𪜊,2
󺯡,2
󺯣,2
󺯥,2
󺯦,2
󺯰,2
󺰒,2
󻑗,2
󻗭,2
𫠠,2
󽿿,2
󽿾,2
󽿽,2
丆,2
丷,2
乄,2
亻,2
讠,2
龴,2
𠀂,2
…,3
５,3
Ⅰ,3
Ⅴ,3
〣,3
⼝,3
⼞,3
⼟,3
⼠,3
⼢,3
⼣,3
⼤,3
⼥,3
⼦,3
⼧,3
⼨,3
⼩,3
⼪,3
⼫,3
⼬,3
⼭,3
⼮,3
⼯,3
⼰,3
⼱,3
⼲,3
⼳,3
⼴,3
⼵,3
⼶,3
⼷,3
⼸,3
⼹,3
⼺,3
⼻,3
三,3
下,3
丈,3
上,3
丫,3
丸,3
凡,3
久,3
么,3
也,3
乞,3
于,3
亡,3
兀,3
刃,3
勺,3
千,3
叉,3
口,3
土,3
士,3
夕,3
大,3
女,3
子,3
孑,3
孓,3
寸,3
小,3
尢,3
尸,3
山,3
川,3
工,3
己,3
已,3
巳,3
巾,3
干,3
廾,3
弋,3
弓,3
才,3
万,3
丌,3
乇,3
亍,3
囗,3
屮,3
彳,3
个,3
亇,3
义,3
凢,3
乆,3
亏,3
亼,3
亾,3
兦,3
凣,3
刄,3
劜,3
卄,3
夂,3
夊,3
